#     FILENAME=!/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_107271/Cyborg/Skynet_60333_barnard_33-nb_107271_56634.cyb.fits
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=Skynet_60333_barnard_33-nb_107271/Cyborg
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1408
#          UTC=12168
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#     TUNEFREQ=1406.2600
# Actual_FREQ1=1421.8850
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.260
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#    STARTCHAN=51 
#     STOPCHAN=972 
#         TAVE=0.1470
#         TBIN=0.00000000
#       ACCLEN=0.00000000
#        FOCUS=37.0489
#       RA,DEC=05:32:14.91, -04:40:06.56 
#      RA(hrs)=5.537480
#     DEC(deg)=-4.668490
#    AZIM(deg)=193.492
#    ELEV(deg)=45.838
#     COORDREF=RA_DEC_
#         HREF=85.245400
#         VREF=-2.458300
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200
#   POWER_XLYR=1.724, 2.231
#       VELDEF=RADI-OBS
#     VELOCITY=0.000
#         NPOL=2
#      POLMODE=Linear
#      POLTYPE=
#      WARNING=None
#     CRYOTEMP=289
#      BOXTEMP=23
#     NOISECAL=HI
#       PRECAL=2
#      POSTCAL=2
#    TCAL_XL1=9.1665
#    TCAL_YR1=10.0295
#    TCAL_XL2=9.1530
#    TCAL_YR2=9.9400
#     TRX_XL1=7.4595
#     TRX_YR1=7.4595
#     TRX_XL2=8.0030
#     TRX_YR2=8.0030
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 
   1426.82885     222.7583     226.0911   1411.20385     292.7628     366.6363
   1426.81359     222.9999     226.3877   1411.18859     293.3785     367.6113
   1426.79833     222.9652     227.1947   1411.17333     293.8406     367.9644
   1426.78307     223.2115     227.6769   1411.15807     294.7438     368.5914
   1426.76781     224.0340     228.3400   1411.14281     295.2176     369.4582
   1426.75255     223.8248     229.0827   1411.12755     295.7437     369.9390
   1426.73729     224.2643     229.5176   1411.11229     296.0220     370.2881
   1426.72204     224.4574     229.9218   1411.09704     296.7737     370.2820
   1426.70678     224.8067     230.7647   1411.08178     297.3469     371.4493
   1426.69152     224.9983     231.2030   1411.06652     297.7997     371.5979
   1426.67626     225.1306     231.8501   1411.05126     298.3926     371.7794
   1426.66100     225.4701     232.2857   1411.03600     299.0249     372.1232
   1426.64574     225.5508     233.0244   1411.02074     299.6402     372.5534
   1426.63048     225.9632     233.9215   1411.00548     300.0760     373.2620
   1426.61522     226.3042     234.1728   1410.99022     300.6402     373.8452
   1426.59997     226.1954     234.4216   1410.97497     300.6566     373.6398
   1426.58471     226.7835     235.4347   1410.95971     301.5188     374.4547
   1426.56945     226.6016     235.7326   1410.94445     302.1564     374.8676
   1426.55419     226.8445     236.1836   1410.92919     302.7866     374.9624
   1426.53893     227.1569     236.7056   1410.91393     302.9809     375.4823
   1426.52367     227.0023     237.3154   1410.89867     303.7446     375.9286
   1426.50841     227.2448     237.9692   1410.88341     303.9519     375.8214
   1426.49315     227.4517     238.5471   1410.86815     304.5344     376.4970
   1426.47790     227.6954     238.9200   1410.85290     304.6068     377.0474
   1426.46264     227.8914     239.4341   1410.83764     305.4716     376.9199
   1426.44738     228.0774     240.1021   1410.82238     306.1389     376.9492
   1426.43212     228.2433     240.5523   1410.80712     306.2687     377.5222
   1426.41686     228.5446     241.1743   1410.79186     307.0536     377.9374
   1426.40160     228.3653     241.4619   1410.77660     307.2711     377.8644
   1426.38634     228.6682     241.9839   1410.76134     307.6457     378.2665
   1426.37108     228.8024     242.5845   1410.74608     308.2530     378.8677
   1426.35583     229.0742     243.1901   1410.73083     308.5827     378.7420
   1426.34057     228.9008     243.8522   1410.71557     309.3615     379.0020
   1426.32531     229.1152     244.4133   1410.70031     309.3649     379.0012
   1426.31005     229.4706     244.6854   1410.68505     309.8918     379.7880
   1426.29479     229.4358     245.1081   1410.66979     310.3297     379.5020
   1426.27953     229.5611     245.5055   1410.65453     310.9462     379.9528
   1426.26427     229.8307     246.3034   1410.63927     310.9922     379.9116
   1426.24901     230.0666     246.8961   1410.62401     311.8787     379.9878
   1426.23375     230.2480     246.8230   1410.60875     312.1127     380.2724
   1426.21850     230.2824     248.1540   1410.59350     312.4643     380.4312
   1426.20324     230.2790     248.3314   1410.57824     312.7430     380.1458
   1426.18798     230.3821     248.6550   1410.56298     313.1382     380.5841
   1426.17272     230.5950     249.3417   1410.54772     313.5440     380.7417
   1426.15746     230.6187     249.9518   1410.53246     313.8815     381.0783
   1426.14220     230.7339     250.2012   1410.51720     314.3568     381.1155
   1426.12694     230.9508     250.8076   1410.50194     314.9235     381.1104
   1426.11168     230.9739     251.4279   1410.48668     314.6273     380.7440
   1426.09643     231.2961     251.7491   1410.47143     315.4909     381.3606
   1426.08117     231.4272     252.2746   1410.45617     315.5218     381.5987
   1426.06591     231.4641     252.8323   1410.44091     316.0108     381.8802
   1426.05065     231.4822     253.3665   1410.42565     316.4696     381.7652
   1426.03539     231.8301     253.6570   1410.41039     316.9030     381.3224
   1426.02013     231.8577     254.3701   1410.39513     316.9872     381.8442
   1426.00487     232.0123     254.7934   1410.37987     317.2890     382.0630
   1425.98961     231.9630     255.2747   1410.36461     317.9415     382.1080
   1425.97436     232.0372     255.7681   1410.34936     318.4381     382.2403
   1425.95910     232.2778     256.3365   1410.33410     318.3103     382.3802
   1425.94384     232.5792     256.6349   1410.31884     318.7265     381.9902
   1425.92858     232.7195     257.1815   1410.30358     319.3763     382.2816
   1425.91332     232.6676     257.3916   1410.28832     319.8461     382.1825
   1425.89806     232.9559     258.0379   1410.27306     319.8618     382.1078
   1425.88280     232.9688     258.5729   1410.25780     320.2307     382.0503
   1425.86754     232.9999     258.8437   1410.24254     320.5725     382.4156
   1425.85229     233.0999     259.6750   1410.22729     321.2870     382.1380
   1425.83703     233.1121     259.6947   1410.21203     320.9657     382.1487
   1425.82177     233.4040     260.5472   1410.19677     321.3808     382.3746
   1425.80651     233.4509     260.8052   1410.18151     321.7903     382.1580
   1425.79125     233.6020     261.3710   1410.16625     322.1249     382.2771
   1425.77599     233.5954     262.0895   1410.15099     322.2662     382.1696
   1425.76073     233.8973     262.5015   1410.13573     322.7301     382.1775
   1425.74547     233.9000     262.6749   1410.12047     322.7827     381.8762
   1425.73021     234.1781     263.5375   1410.10521     323.1179     382.1421
   1425.71496     234.3125     264.2377   1410.08996     323.1719     382.1084
   1425.69970     234.4747     264.3034   1410.07470     324.1251     381.8537
   1425.68444     234.5883     264.8160   1410.05944     324.1409     381.7499
   1425.66918     234.5615     265.4699   1410.04418     324.4767     381.8061
   1425.65392     234.8596     265.9328   1410.02892     324.9431     381.9860
   1425.63866     234.8186     266.4926   1410.01366     324.7204     381.7841
   1425.62340     234.7913     266.8664   1409.99840     325.2913     382.1255
   1425.60814     235.3378     267.0479   1409.98314     325.5789     381.7865
   1425.59289     235.4471     267.7099   1409.96789     326.1681     381.8180
   1425.57763     235.5956     268.1482   1409.95263     326.3236     381.8254
   1425.56237     235.9128     268.5092   1409.93737     326.8186     382.2204
   1425.54711     235.7507     269.1297   1409.92211     326.8985     388.1258
   1425.53185     235.8348     269.5205   1409.90685     327.3354     381.5990
   1425.51659     236.1512     270.2426   1409.89159     327.2986     380.8299
   1425.50133     236.0974     270.7277   1409.87633     327.6427     381.5501
   1425.48607     236.5782     270.9017   1409.86107     327.8588     380.9795
   1425.47082     236.5939     271.7905   1409.84582     328.3934     381.0544
   1425.45556     236.5505     272.2512   1409.83056     328.8964     380.9992
   1425.44030     236.5608     272.5789   1409.81530     328.8233     381.0683
   1425.42504     237.0165     273.2520   1409.80004     329.0403     380.5776
   1425.40978     237.3138     273.3341   1409.78478     329.1651     380.6432
   1425.39452     237.4611     274.0748   1409.76952     329.5640     380.5713
   1425.37926     237.2104     274.4614   1409.75426     330.1276     380.3568
