#     FILENAME=Skynet_60333_barnard_33-nb_107271_56634.A.spect.cal.txt
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_1072
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1387963
#          UTC=11992
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.1342
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=176.09
#     EXPOSURE=118.38
#        FOCUS=37.049
#       RA,DEC=05:32:14.91, -04:40:06.56
#      RA(deg)=85.17580
#     DEC(deg)=-2.44630
#   WIDTH(deg)=4.4307x4.8706
#    AZIM(deg)=191.5431
#    ELEV(deg)=48.3010
#     COORDREF=RA_DEC_
#         HREF=85.2454
#         VREF=-2.4583
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.72, 2.23] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=289 
#      BOXTEMP=23 
#         TSYS=XX1:134.40, YY1:135.12
#         TSYS=XX2:121.55, YY2:146.84
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1426.93566     116.2554     108.1953    1411.31066     114.7202     159.8878
   1426.92040     116.5837     108.4217    1411.29540     115.1157     160.3860
   1426.90514     116.7764     108.6170    1411.28014     115.3107     160.4427
   1426.88988     116.8056     109.0509    1411.26488     115.5280     160.7954
   1426.87462     117.0075     109.4392    1411.24962     115.8614     161.0377
   1426.85937     117.3448     109.6086    1411.23437     115.9774     161.1570
   1426.84411     117.4843     109.9427    1411.21911     116.3321     161.6085
   1426.82885     117.4949     110.3245    1411.20385     116.5301     161.5355
   1426.81359     117.7322     110.5024    1411.18859     116.8778     162.0852
   1426.79833     117.7127     110.9321    1411.17333     117.0742     162.0950
   1426.78307     117.7310     111.1088    1411.15807     117.4059     162.5556
   1426.76781     118.2448     111.3638    1411.14281     117.5966     162.7156
   1426.75255     118.2129     111.8025    1411.12755     117.8442     162.8926
   1426.73729     118.3198     112.0001    1411.11229     117.9995     163.2068
   1426.72204     118.4139     112.0658    1411.09704     118.1713     163.2537
   1426.70678     118.6423     112.5914    1411.08178     118.4174     163.6697
   1426.69152     118.6643     112.8384    1411.06652     118.5952     163.6917
   1426.67626     118.8038     113.0783    1411.05126     118.8610     163.7706
   1426.66100     119.0034     113.3319    1411.03600     119.0670     163.9411
   1426.64574     119.0598     113.6876    1411.02074     119.3469     164.1834
   1426.63048     119.2053     114.1226    1411.00548     119.4638     164.5882
   1426.61522     119.4582     114.2332    1410.99022     119.7493     164.7633
   1426.59997     119.3334     114.3906    1410.97497     119.7218     164.6911
   1426.58471     119.7538     114.8307    1410.95971     120.1387     164.9667
   1426.56945     119.5108     114.9894    1410.94445     120.3999     165.1474
   1426.55419     119.6771     115.2043    1410.92919     120.5464     165.2420
   1426.53893     119.8753     115.4321    1410.91393     120.7283     165.4119
   1426.52367     119.8548     115.8388    1410.89867     120.8960     165.5814
   1426.50841     119.9632     116.0712    1410.88341     120.9471     165.6547
   1426.49315     119.9507     116.3912    1410.86815     121.2804     165.9406
   1426.47790     120.2085     116.5324    1410.85290     121.3720     166.1570
   1426.46264     120.2016     116.7704    1410.83764     121.6283     166.0301
   1426.44738     120.2335     117.1175    1410.82238     121.9326     166.0388
   1426.43212     120.4689     117.2903    1410.80712     122.0206     166.4092
